person_ID,trip_count,av_1,av_2,av_3,av_4,av_5,av_6,av_7,av_8,choice,shop_trip,leis_trip,dist_fac,tt_w,tt_b,tt_c,tc_c,acc_c,acc_time_4,tt_pt,tc_pt,acc_pt,trns_pt,freq_pt,distance_3,tt_ivt_3,tc_c_3,tt_ivt_1,tt_ivt_2,tt_ivt_4,tc_pt_4,wait_4,trns_4,freq_sof,Q1.1,Q1.2,Q1.3,Q1.4,Q1.6,Q1.16.1,Q1.10,Q2.2,hh_income_cat,hh_income,Q2.5_1,Q2.5_2,Q2.5_4,Q2.5_5,Q2.6_1,Q2.6_2,Q2.7,p_income,Q3.7,Q3.8,Q3.9
Y071936,26,0,0,1,1,0,0,0,0,4,0,0,25.52025,,,22,4.6,9,1.766666667,31,5.3,4,1,15,29.371,25.13333333,6.8,285.15,88.08333333,26,4.6,4.216666667,1,12,56,2,11,5,1,3,1,4,7,13000,2,1,1,1,2,1,2,13000,1,1,1
U1640695,27,0,1,1,1,0,0,0,0,3,0,0,6.8025,,21,20,2.7,6,1.916666667,20,3.1,2,1,20,7.452,13.1,1.8,75.9,21.18333333,22,4.6,0,0,15,49,3,1,3,1,1,1,4,3,5000,1,0,0,3,2,1,2,2000,1,2,2
B409337,27,0,1,1,1,0,0,0,0,3,1,0,19.7085,,47,17,9.1,9,18.6,23,7,20,2,10,18.193,17.36666667,6.1,214.4666667,49.4,32,10.2,2.316666667,1,20,20,2,5,4,1,3,1,1,8,15000,5,0,0,4,2,1,2,2000,1,1,1
B429449,27,0,1,1,1,0,0,0,0,4,0,0,11.92475,,39,20,3.1,9,9.2,22,3.6,7,2,15,13.097,14.65,2.6,98.41666667,38.6,30,5.3,0.8,1,10,54,2,4,3,1,3,1,4,7,13000,1,1,0,2,2,1,2,9500,1,1,1
E175846,27,0,0,0,0,0,1,1,1,6,0,1,7.23075,,,,,,5.766666667,,,,,,6.976,10.16666667,1.5,86.96666667,21.95,15,2,0.016666667,0,15,57,3,3,5,1,3,1,1,7,13000,1,1,1,4,2,1,2,7000,2,1,1
T483527,26,1,1,1,1,0,0,0,0,2,0,0,3.89725,45,13,6,1.8,9,4.75,10,2.7,5,1,15,3.922,6.1,1,43.2,14.06666667,9.2,4.3,9.716666667,1,20,62,2,10,3,1,3,1,4,3,5000,2,0,0,2,2,1,2,7000,1,1,1
D135184,27,0,0,0,0,1,1,1,1,7,0,0,4.10925,,,,,,16.1,,,,,,3.693,9,1,44.23333333,15.71666667,13,3.7,0.2,0,3,22,2,5,4,1,3,2,4,6,11000,3,1,0,1,2,2,3,4000,1,2,2
U423015,26,0,0,0,0,1,1,0,1,6,1,0,2.7535,,,,,,1.683333333,,,,,,2.676,5.583333333,0.5,33.36666667,8.783333333,8,2.8,0,0,7,31,2,11,4,1,3,2,4,8,15000,1,0,0,2,2,1,3,9500,1,1,1
O321502,27,0,0,1,1,0,0,0,0,3,0,0,21.004,,,14,5.8,9,12.56666667,16,7.2,11,0,7,22.131,17.3,7.7,254.15,65.48333333,20,5.8,0,0,12,34,2,2,4,1,3,2,2,7,13000,1,0,0,5,1,2,3,7000,1,2,2
L052445,26,0,0,0,0,1,1,0,1,8,0,0,2.18825,,,,,,1.933333333,,,,,,2.328,7.783333333,0.5,23.51666667,8.033333333,8,0.3,2.316666667,0,4,32,3,11,4,1,3,2,2,3,5000,0,0,0,1,1,1,3,7000,1,1,1
